Fecha;Provincia;Consumo energético (kWh/m²);Media de residentes;Potencia contratada (kW);Tipo de vivienda
2024-01-03;Murcia;90.97;2.3;3.3;Casa unifamiliar
2024-01-03;Navarra;41.05;5.0;7.7;Casa unifamiliar
2024-01-03;Orense;54.49;3.7;4.4;Adosado
2024-01-03;Palencia;38.58;1.5;6.6;Piso
2024-01-03;Las Palmas;74.93;2.5;3.3;Adosado
2024-01-03;Pontevedra;125.56;1.6;3.3;Dúplex
2024-01-03;La Rioja;112.49;2.8;4.4;Piso
2024-01-03;Salamanca;207.5;2.5;6.6;Piso
2024-01-03;Segovia;156.67;3.3;6.6;Piso
2024-01-03;Sevilla;103.9;4.5;4.4;Dúplex
2024-01-03;Soria;237.44;4.6;7.7;Dúplex
2024-01-03;Tarragona;114.97;3.6;3.3;Dúplex
2024-01-03;Santa Cruz de Tenerife;148.18;4.5;6.6;Piso
2024-01-03;Teruel;249.43;1.3;7.7;Dúplex
2024-01-03;Toledo;157.2;1.8;3.3;Piso
2024-01-03;Valencia;47.14;2.8;7.7;Dúplex
2024-01-03;Valladolid;280.45;4.9;7.7;Dúplex
2024-01-03;Vizcaya;184.62;1.6;3.3;Adosado
2024-01-03;Zamora;181.61;4.1;5.5;Dúplex
2024-01-03;Zaragoza;283.28;4.6;3.3;Adosado
2024-01-04;Álava;162.31;2.0;5.5;Piso
2024-01-04;Albacete;92.82;1.7;4.4;Casa unifamiliar
2024-01-04;Alicante;133.36;4.1;6.6;Piso
2024-01-04;Almería;186.93;3.8;5.5;Casa unifamiliar
2024-01-04;Asturias;188.97;1.4;4.4;Dúplex
2024-01-04;Ávila;64.61;4.2;6.6;Dúplex
2024-01-04;Badajoz;274.91;1.4;7.7;Casa unifamiliar
2024-01-04;Baleares;227.29;4.2;5.5;Dúplex
2024-01-04;Barcelona;24.84;4.5;3.3;Piso
2024-01-04;Burgos;39.58;1.7;7.7;Piso
2024-01-04;Cáceres;221.9;4.8;4.4;Piso
2024-01-04;Cádiz;114.4;2.4;7.7;Adosado
2024-01-04;Cantabria;273.67;4.1;5.5;Adosado
2024-01-04;Castellón;65.78;2.7;5.5;Adosado
2024-01-04;Ciudad Real;23.73;3.1;4.4;Dúplex
2024-01-04;Córdoba;238.33;3.1;3.3;Dúplex
2024-01-04;La Coruña;88.4;1.3;7.7;Adosado
2024-01-04;Cuenca;66.8;4.5;5.5;Dúplex
2024-01-04;Gerona;242.43;1.7;5.5;Dúplex
2024-01-04;Granada;101.62;1.5;7.7;Dúplex
2024-01-04;Guadalajara;131.59;2.9;3.3;Piso
2024-01-04;Guipúzcoa;149.44;2.3;4.4;Casa unifamiliar
2024-01-04;Huelva;168.85;3.4;6.6;Piso
2024-01-04;Huesca;126.01;3.5;7.7;Adosado
2024-01-04;Jaén;140.03;3.3;7.7;Dúplex
2024-01-04;León;74.64;2.9;6.6;Adosado
2024-01-04;Lérida;223.11;4.6;3.3;Piso
2024-01-04;Lugo;275.87;3.2;6.6;Casa unifamiliar
2024-01-04;Madrid;219.13;4.1;7.7;Casa unifamiliar
2024-01-04;Málaga;78.75;4.9;3.3;Dúplex
2024-01-04;Murcia;287.56;2.5;3.3;Piso
2024-01-04;Navarra;272.61;4.2;7.7;Casa unifamiliar
2024-01-04;Orense;249.83;2.1;5.5;Casa unifamiliar
2024-01-04;Palencia;160.74;3.0;4.4;Piso
2024-01-04;Las Palmas;225.58;3.9;5.5;Piso
2024-01-04;Pontevedra;102.16;4.2;3.3;Piso
2024-01-04;La Rioja;157.22;1.6;5.5;Casa unifamiliar
2024-01-04;Salamanca;185.96;3.6;5.5;Dúplex
2024-01-04;Segovia;246.24;1.1;4.4;Adosado
2024-01-04;Sevilla;216.56;4.1;7.7;Dúplex
2024-01-04;Soria;287.67;2.7;7.7;Dúplex
2024-01-04;Tarragona;154.8;4.3;6.6;Dúplex
2024-01-04;Santa Cruz de Tenerife;131.54;1.3;3.3;Casa unifamiliar
2024-01-04;Teruel;251.3;4.4;5.5;Dúplex
2024-01-04;Toledo;246.06;3.9;6.6;Dúplex
2024-01-04;Valencia;71.48;3.3;7.7;Adosado
2024-01-04;Valladolid;155.21;5.0;6.6;Piso
2024-01-04;Vizcaya;25.72;1.5;6.6;Adosado
2024-01-04;Zamora;102.21;3.6;4.4;Adosado
2024-01-04;Zaragoza;229.04;3.0;7.7;Casa unifamiliar
2024-01-05;Álava;201.63;2.5;5.5;Dúplex
2024-01-05;Albacete;253.79;4.3;4.4;Adosado
2024-01-05;Alicante;72.71;1.4;6.6;Piso
2024-01-05;Almería;136.03;1.9;5.5;Casa unifamiliar
2024-01-05;Asturias;149.94;3.6;7.7;Adosado
2024-01-05;Ávila;189.89;2.5;5.5;Dúplex
2024-01-05;Badajoz;130.64;1.9;3.3;Dúplex
2024-01-05;Baleares;21.92;1.1;4.4;Dúplex
2024-01-05;Barcelona;290.95;2.9;6.6;Piso
2024-01-05;Burgos;222.42;2.0;5.5;Dúplex
2024-01-05;Cáceres;30.03;3.6;4.4;Piso
2024-01-05;Cádiz;117.94;2.9;4.4;Dúplex
2024-01-05;Cantabria;287.47;4.3;6.6;Piso
2024-01-05;Castellón;82.76;2.7;3.3;Casa unifamiliar
2024-01-05;Ciudad Real;282.1;4.1;6.6;Dúplex
2024-01-05;Córdoba;231.55;3.1;5.5;Dúplex
2024-01-05;La Coruña;241.12;4.5;7.7;Casa unifamiliar
2024-01-05;Cuenca;39.97;1.5;3.3;Piso
2024-01-05;Gerona;154.49;2.8;6.6;Casa unifamiliar
2024-01-05;Granada;31.39;5.0;6.6;Casa unifamiliar
2024-01-05;Guadalajara;204.08;4.5;6.6;Casa unifamiliar
2024-01-05;Guipúzcoa;226.05;3.0;7.7;Adosado
2024-01-05;Huelva;168.74;4.8;7.7;Adosado
2024-01-05;Huesca;250.93;3.8;4.4;Adosado
2024-01-05;Jaén;88.64;1.0;3.3;Piso
2024-01-05;León;136.92;2.9;4.4;Piso
2024-01-05;Lérida;211.0;1.1;7.7;Casa unifamiliar
2024-01-05;Lugo;90.65;4.5;7.7;Adosado
2024-01-05;Madrid;269.26;3.6;4.4;Adosado
2024-01-05;Málaga;133.92;4.3;3.3;Adosado
2024-01-05;Murcia;81.1;3.3;3.3;Piso
2024-01-05;Navarra;45.43;4.4;5.5;Piso
2024-01-05;Orense;137.45;4.5;5.5;Piso
2024-01-05;Palencia;240.91;4.4;5.5;Dúplex
2024-01-05;Las Palmas;211.59;2.7;3.3;Adosado
2024-01-05;Pontevedra;268.13;2.6;4.4;Casa unifamiliar
2024-01-05;La Rioja;115.93;1.9;5.5;Piso
2024-01-05;Salamanca;204.06;2.1;6.6;Adosado
2024-01-05;Segovia;206.3;1.8;5.5;Adosado
2024-01-05;Sevilla;181.02;3.6;7.7;Casa unifamiliar
2024-01-05;Soria;102.36;3.5;7.7;Dúplex
2024-01-05;Tarragona;277.65;3.5;7.7;Casa unifamiliar
2024-01-05;Santa Cruz de Tenerife;23.84;4.1;5.5;Casa unifamiliar
2024-01-05;Teruel;220.88;3.4;3.3;Casa unifamiliar
2024-01-05;Toledo;188.21;1.6;7.7;Adosado
2024-01-05;Valencia;119.69;3.5;6.6;Dúplex
2024-01-05;Valladolid;30.75;1.4;3.3;Adosado
2024-01-05;Vizcaya;116.41;4.3;3.3;Casa unifamiliar
2024-01-05;Zamora;166.27;1.7;7.7;Adosado
2024-01-05;Zaragoza;198.28;4.5;4.4;Piso
2024-01-06;Álava;293.03;3.2;6.6;Piso
2024-01-06;Albacete;134.69;2.7;5.5;Casa unifamiliar
2024-01-06;Alicante;213.29;1.3;4.4;Piso
2024-01-06;Almería;51.81;3.2;4.4;Dúplex
2024-01-06;Asturias;227.74;1.7;4.4;Adosado
2024-01-06;Ávila;232.74;2.4;4.4;Dúplex
2024-01-06;Badajoz;226.89;4.7;6.6;Casa unifamiliar
2024-01-06;Baleares;75.05;4.2;6.6;Casa unifamiliar
2024-01-06;Barcelona;106.94;3.8;6.6;Casa unifamiliar
2024-01-06;Burgos;204.38;2.6;5.5;Dúplex
2024-01-06;Cáceres;147.51;2.5;5.5;Dúplex
2024-01-06;Cádiz;168.12;3.5;7.7;Dúplex
2024-01-06;Cantabria;170.75;2.2;3.3;Adosado
2024-01-06;Castellón;117.06;3.6;6.6;Piso
2024-01-06;Ciudad Real;232.52;4.8;7.7;Dúplex
2024-01-06;Córdoba;40.96;1.4;5.5;Casa unifamiliar
2024-01-06;La Coruña;100.17;4.1;3.3;Dúplex
2024-01-06;Cuenca;124.7;1.5;5.5;Piso
2024-01-06;Gerona;235.15;1.8;3.3;Piso
2024-01-06;Granada;252.05;3.8;3.3;Adosado
2024-01-06;Guadalajara;26.56;4.2;7.7;Dúplex
2024-01-06;Guipúzcoa;232.34;1.4;4.4;Casa unifamiliar
2024-01-06;Huelva;284.81;1.5;3.3;Dúplex
2024-01-06;Huesca;168.16;3.7;4.4;Dúplex
2024-01-06;Jaén;145.41;4.6;5.5;Casa unifamiliar
2024-01-06;León;36.2;1.4;7.7;Adosado
2024-01-06;Lérida;196.5;1.0;7.7;Piso
2024-01-06;Lugo;238.91;2.2;7.7;Dúplex
2024-01-06;Madrid;24.39;1.6;4.4;Adosado
2024-01-06;Málaga;247.3;4.2;6.6;Dúplex
2024-01-06;Murcia;97.05;3.9;6.6;Piso
2024-01-06;Navarra;26.74;4.2;5.5;Piso
2024-01-06;Orense;282.37;2.8;7.7;Piso
2024-01-06;Palencia;64.79;2.0;5.5;Piso
2024-01-06;Las Palmas;142.11;1.7;7.7;Piso
2024-01-06;Pontevedra;132.35;2.9;6.6;Adosado
2024-01-06;La Rioja;81.37;1.7;5.5;Dúplex
2024-01-06;Salamanca;186.5;1.1;4.4;Piso
2024-01-06;Segovia;273.29;4.8;5.5;Adosado
2024-01-06;Sevilla;118.9;2.4;5.5;Dúplex
2024-01-06;Soria;141.27;1.8;6.6;Casa unifamiliar
2024-01-06;Tarragona;291.47;4.8;5.5;Dúplex
2024-01-06;Santa Cruz de Tenerife;293.55;2.9;5.5;Piso
2024-01-06;Teruel;292.07;4.4;7.7;Dúplex
2024-01-06;Toledo;94.63;2.7;4.4;Adosado
2024-01-06;Valencia;220.36;4.7;3.3;Dúplex
2024-01-06;Valladolid;212.05;1.1;6.6;Casa unifamiliar
2024-01-06;Vizcaya;260.04;3.9;5.5;Piso
2024-01-06;Zamora;196.27;3.5;7.7;Casa unifamiliar
2024-01-06;Zaragoza;277.64;4.0;5.5;Dúplex
2024-01-07;Álava;256.53;3.1;4.4;Adosado
2024-01-07;Albacete;183.8;1.9;7.7;Casa unifamiliar
2024-01-07;Alicante;271.63;4.3;4.4;Dúplex
2024-01-07;Almería;73.21;3.2;7.7;Adosado
2024-01-07;Asturias;254.46;3.1;5.5;Casa unifamiliar
2024-01-07;Ávila;256.35;4.8;7.7;Dúplex
2024-01-07;Badajoz;77.14;5.0;4.4;Dúplex
2024-01-07;Baleares;289.09;4.0;7.7;Casa unifamiliar
2024-01-07;Barcelona;233.15;4.8;3.3;Piso
2024-01-07;Burgos;221.19;3.7;6.6;Dúplex
2024-01-07;Cáceres;80.19;2.8;4.4;Casa unifamiliar
2024-01-07;Cádiz;111.56;3.1;3.3;Piso
2024-01-07;Cantabria;255.28;2.0;4.4;Dúplex
2024-01-07;Castellón;219.08;4.5;6.6;Piso
2024-01-07;Ciudad Real;113.4;3.7;5.5;Adosado
2024-01-07;Córdoba;256.35;3.3;3.3;Piso
2024-01-07;La Coruña;175.82;3.7;4.4;Dúplex
2024-01-07;Cuenca;136.26;1.2;6.6;Dúplex
2024-01-07;Gerona;239.43;4.3;7.7;Dúplex
2024-01-07;Granada;88.67;4.6;3.3;Casa unifamiliar
2024-01-07;Guadalajara;56.96;5.0;4.4;Adosado
2024-01-07;Guipúzcoa;132.31;1.6;3.3;Dúplex
2024-01-07;Huelva;244.79;4.5;3.3;Adosado
2024-01-07;Huesca;156.86;4.6;3.3;Adosado
2024-01-07;Jaén;31.62;1.2;4.4;Piso
2024-01-07;León;43.08;4.8;7.7;Dúplex
2024-01-07;Lérida;30.75;4.1;4.4;Adosado
2024-01-07;Lugo;251.33;2.7;3.3;Casa unifamiliar
2024-01-07;Madrid;41.63;1.6;7.7;Piso
2024-01-07;Málaga;158.55;3.5;7.7;Adosado
2024-01-07;Murcia;58.17;2.6;7.7;Piso
2024-01-07;Navarra;129.45;3.5;4.4;Adosado
2024-01-07;Orense;218.04;3.9;3.3;Casa unifamiliar
2024-01-07;Palencia;295.63;4.0;6.6;Dúplex
2024-01-07;Las Palmas;127.0;1.4;6.6;Dúplex
2024-01-07;Pontevedra;161.84;3.5;3.3;Piso
2024-01-07;La Rioja;226.31;4.4;5.5;Piso
2024-01-07;Salamanca;243.79;4.2;3.3;Piso
2024-01-07;Segovia;290.32;1.2;3.3;Piso
2024-01-07;Sevilla;98.73;2.3;6.6;Dúplex
2024-01-07;Soria;238.43;2.4;6.6;Piso
2024-01-07;Tarragona;59.15;4.1;7.7;Casa unifamiliar
2024-01-07;Santa Cruz de Tenerife;34.78;3.0;6.6;Adosado
2024-01-07;Teruel;223.09;3.5;7.7;Piso
2024-01-07;Toledo;192.1;1.8;7.7;Casa unifamiliar
2024-01-07;Valencia;273.73;2.6;4.4;Casa unifamiliar
2024-01-07;Valladolid;152.05;2.9;3.3;Piso
2024-01-07;Vizcaya;38.84;4.7;6.6;Piso
2024-01-07;Zamora;220.26;2.7;5.5;Adosado
2024-01-07;Zaragoza;51.09;1.1;7.7;Piso
2024-01-08;Álava;105.17;4.5;6.6;Dúplex
2024-01-08;Albacete;38.44;2.5;6.6;Dúplex
2024-01-08;Alicante;275.12;4.7;4.4;Adosado
2024-01-08;Almería;107.98;2.7;6.6;Casa unifamiliar
2024-01-08;Asturias;224.93;1.7;4.4;Adosado
2024-01-08;Ávila;134.86;1.5;7.7;Piso
2024-01-08;Badajoz;125.75;4.0;6.6;Dúplex
2024-01-08;Baleares;92.06;1.8;3.3;Casa unifamiliar
2024-01-08;Barcelona;166.63;1.7;7.7;Dúplex
2024-01-08;Burgos;66.96;4.1;7.7;Casa unifamiliar
2024-01-08;Cáceres;172.11;1.4;7.7;Dúplex
2024-01-08;Cádiz;219.65;4.2;6.6;Casa unifamiliar
2024-01-08;Cantabria;241.96;2.7;7.7;Piso
2024-01-08;Castellón;266.25;4.9;5.5;Dúplex
2024-01-08;Ciudad Real;71.75;4.9;5.5;Adosado
2024-01-08;Córdoba;219.82;1.0;5.5;Adosado
2024-01-08;La Coruña;96.61;2.6;7.7;Piso
2024-01-08;Cuenca;241.11;4.4;7.7;Casa unifamiliar
2024-01-08;Gerona;169.61;4.3;5.5;Dúplex
2024-01-08;Granada;282.09;3.8;3.3;Piso
2024-01-08;Guadalajara;174.78;4.2;6.6;Casa unifamiliar
2024-01-08;Guipúzcoa;261.65;3.0;5.5;Adosado
2024-01-08;Huelva;136.03;4.8;5.5;Adosado
2024-01-08;Huesca;211.73;1.1;6.6;Adosado
2024-01-08;Jaén;245.43;2.1;7.7;Dúplex
2024-01-08;León;90.77;1.3;3.3;Adosado
2024-01-08;Lérida;135.61;4.9;3.3;Piso
2024-01-08;Lugo;21.07;1.7;4.4;Adosado
2024-01-08;Madrid;35.19;2.5;3.3;Adosado
2024-01-08;Málaga;244.8;1.1;5.5;Piso
2024-01-08;Murcia;258.8;4.4;6.6;Piso
2024-01-08;Navarra;33.02;5.0;7.7;Casa unifamiliar
2024-01-08;Orense;235.29;4.6;4.4;Dúplex
2024-01-08;Palencia;238.02;3.3;4.4;Piso
2024-01-08;Las Palmas;274.13;2.6;3.3;Adosado
2024-01-08;Pontevedra;243.93;1.7;5.5;Piso
2024-01-08;La Rioja;188.56;3.3;5.5;Casa unifamiliar
2024-01-08;Salamanca;141.34;3.9;4.4;Adosado
2024-01-08;Segovia;81.66;3.1;7.7;Piso
2024-01-08;Sevilla;174.05;1.2;7.7;Piso
2024-01-08;Soria;62.43;2.6;7.7;Adosado
2024-01-08;Tarragona;97.56;4.7;7.7;Adosado
2024-01-08;Santa Cruz de Tenerife;168.81;1.2;4.4;Casa unifamiliar
2024-01-08;Teruel;172.08;3.8;6.6;Casa unifamiliar
2024-01-08;Toledo;63.78;2.0;5.5;Adosado
2024-01-08;Valencia;153.77;2.0;4.4;Piso
2024-01-08;Valladolid;287.03;1.0;4.4;Piso
2024-01-08;Vizcaya;140.57;1.9;3.3;Adosado
2024-01-08;Zamora;173.28;4.6;6.6;Piso
2024-01-08;Zaragoza;261.37;1.6;6.6;Dúplex
2024-01-09;Álava;38.25;1.7;5.5;Piso
2024-01-09;Albacete;238.28;2.9;6.6;Adosado
2024-01-09;Alicante;37.6;2.3;7.7;Adosado
2024-01-09;Almería;122.3;1.2;3.3;Dúplex
2024-01-09;Asturias;86.4;1.4;4.4;Dúplex
2024-01-09;Ávila;159.42;1.8;4.4;Casa unifamiliar
2024-01-09;Badajoz;240.39;4.7;7.7;Casa unifamiliar
2024-01-09;Baleares;238.69;4.6;6.6;Piso
2024-01-09;Barcelona;140.83;2.2;5.5;Casa unifamiliar
2024-01-09;Burgos;216.28;3.6;7.7;Adosado
2024-01-09;Cáceres;263.47;2.4;5.5;Piso
2024-01-09;Cádiz;231.17;3.6;7.7;Piso
2024-01-09;Cantabria;51.07;4.5;4.4;Piso
2024-01-09;Castellón;169.41;1.8;3.3;Adosado
2024-01-09;Ciudad Real;207.77;3.0;3.3;Dúplex
2024-01-09;Córdoba;69.01;2.5;6.6;Piso
2024-01-09;La Coruña;158.11;2.0;6.6;Piso
2024-01-09;Cuenca;168.34;3.9;3.3;Dúplex
2024-01-09;Gerona;281.65;3.5;3.3;Piso
2024-01-09;Granada;216.17;1.6;6.6;Piso
2024-01-09;Guadalajara;61.12;3.5;5.5;Adosado
2024-01-09;Guipúzcoa;138.89;3.1;3.3;Dúplex
2024-01-09;Huelva;273.19;4.4;3.3;Casa unifamiliar
2024-01-09;Huesca;288.27;2.0;4.4;Adosado
2024-01-09;Jaén;176.39;4.4;5.5;Dúplex
2024-01-09;León;262.03;1.9;5.5;Casa unifamiliar
2024-01-09;Lérida;261.7;2.3;4.4;Adosado
2024-01-09;Lugo;68.57;3.9;5.5;Dúplex
2024-01-09;Madrid;40.75;4.1;3.3;Dúplex
2024-01-09;Málaga;147.59;3.2;6.6;Piso
2024-01-09;Murcia;85.2;3.2;5.5;Dúplex
2024-01-09;Navarra;298.17;1.6;7.7;Piso
2024-01-09;Orense;122.97;2.0;4.4;Piso
2024-01-09;Palencia;20.9;1.4;7.7;Adosado
2024-01-09;Las Palmas;162.97;4.6;7.7;Casa unifamiliar
2024-01-09;Pontevedra;244.83;1.7;3.3;Casa unifamiliar
2024-01-09;La Rioja;140.64;3.5;6.6;Dúplex
2024-01-09;Salamanca;173.24;1.4;5.5;Dúplex
2024-01-09;Segovia;228.16;4.1;6.6;Casa unifamiliar
2024-01-09;Sevilla;263.95;1.4;4.4;Piso
2024-01-09;Soria;100.89;4.3;7.7;Adosado
2024-01-09;Tarragona;68.36;3.3;4.4;Adosado
2024-01-09;Santa Cruz de Tenerife;59.3;4.3;3.3;Adosado
2024-01-09;Teruel;175.94;4.0;4.4;Casa unifamiliar
2024-01-09;Toledo;67.74;4.8;3.3;Adosado
2024-01-09;Valencia;20.42;3.1;5.5;Adosado
2024-01-09;Valladolid;122.37;3.9;4.4;Adosado
2024-01-09;Vizcaya;97.8;3.2;7.7;Casa unifamiliar
2024-01-09;Zamora;163.15;3.2;3.3;Casa unifamiliar
2024-01-09;Zaragoza;140.48;1.4;3.3;Adosado
2024-01-10;Álava;62.52;4.6;6.6;Casa unifamiliar
2024-01-10;Albacete;95.77;3.1;4.4;Dúplex
2024-01-10;Alicante;23.8;4.9;7.7;Piso
